league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1912,Oklahoma State League,HNTR0101,Henderson,,Tulsa,1912-04-30,1912-05-01,2,2,0,0,0,0,0,0,0,0,0,2
1912,Oklahoma State League,HLZZ0101,Hill,,Holdenville,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,JSPR0101,Jasper,,Anadarko,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,JFRS0101,Jeffries,,Okmulgee,1912-04-30,1912-04-30,1,0,0,0,0,0,0,0,0,0,1,0
1912,Oklahoma State League,KSTR0101,Kester,,Tulsa,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,KRSZ0101,Krause,,Guthrie,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,LNKL0101,Langley,,Oklahoma City,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,LZZZ0101,Lowe,,Guthrie,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,MTKS0101,Matticks,,Okmulgee,1912-05-01,1912-05-01,1,0,0,0,0,0,0,0,0,0,1,0
1912,Oklahoma State League,MRSZ0101,Meyers,,McAlester,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,MLRZ0101,Miller,,McAlester,1912-04-30,1912-05-01,2,0,0,0,0,0,0,0,0,0,2,0
1912,Oklahoma State League,RNZZ0101,Rayn,,McAlester,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,STNZ0101,Stone,,Anadarko,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,TLRZ0101,Taylor,,Okmulgee,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,TNKP0101,Tincup,,Muskogee,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Oklahoma State League,APZZ0101,Webb,,Holdenville,1912-04-30,1912-05-01,2,0,0,0,0,0,0,0,0,0,2,0
1912,Oklahoma State League,ALSN0101,Wilson,,Muskogee,1912-04-30,1912-05-01,2,0,0,0,0,0,0,0,0,0,2,0
1912,Oklahoma State League,ASZZ0101,Wise,,McAlester,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,ATMS0103,Adams,,Cleburne,1912-04-29,1912-05-01,3,0,0,0,0,0,3,1,2,0,0,0
1912,South Central League,ATMS0203,Adams,,Greenville,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,ATMS0303,Adams,,Paris,1912-04-29,1912-04-30,2,1,0,0,0,0,1,0,1,0,0,1
1912,South Central League,ALNZ0101,Allen,,Texarkana,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,0,3,0,0
